window_id,start,end,truth_regime,n,approx_entropy_bits,repetition_ratio,locality_small_delta_ratio,digit_length_entropy,digit_length_transition_rate,cache_window_reuse_proxy,branch_pressure_score,delta_abs_mean,entropy_norm,delta_norm,branch_norm,simd_suitability,scalar_suitability,fragmentation_score,coherence_score,hardware_pressure_proxy,adaptive_policy,adaptive_throughput_raw,fixed_scalar_throughput,fixed_simd_throughput,policy_changed,adaptive_throughput_with_switch_cost,best_fixed_baseline,adaptive_gain_vs_best_fixed,adaptive_gain_pct_vs_best_fixed
0,0,5000,low_entropy_repeating,5000,2.0,0.9992,1.0,-0.0,0.0,0.9375,0.0125,1.4996999399879976,0.21636026604293754,0.010930724462742961,0.0,0.31729082007269443,0.9596139733957062,0.015625,0.9778000380280678,0.00859375,coherent_local,1750,1650,1400,True,1697.5,1650,47.5,2.878787878787879
1,5000,10000,low_entropy_repeating,5000,2.0,0.9992,1.0,-0.0,0.0,0.9375,0.0125,1.4996999399879976,0.21636026604293754,0.010930724462742961,0.0,0.31729082007269443,0.9596139733957062,0.015625,0.9778000380280678,0.00859375,coherent_local,1750,1650,1400,False,1750.0,1650,100.0,6.0606060606060606
2,10000,15000,low_entropy_repeating,5000,2.0,0.9992,1.0,-0.0,0.0,0.9375,0.0125,1.4996999399879976,0.21636026604293754,0.010930724462742961,0.0,0.31729082007269443,0.9596139733957062,0.015625,0.9778000380280678,0.00859375,coherent_local,1750,1650,1400,False,1750.0,1650,100.0,6.0606060606060606
3,15000,20000,low_entropy_repeating,5000,2.0,0.9992,1.0,-0.0,0.0,0.9375,0.0125,1.4996999399879976,0.21636026604293754,0.010930724462742961,0.0,0.31729082007269443,0.9596139733957062,0.015625,0.9778000380280678,0.00859375,coherent_local,1750,1650,1400,False,1750.0,1650,100.0,6.0606060606060606
4,20000,25000,sequential_ids,5000,7.9995285498004485,0.0,1.0,0.8251071254770042,0.000600120024004801,0.0,0.20027005401080217,1.0,1.0,0.0,0.22260346262969843,0.5943491343425754,0.5443491343425754,0.3501715581833643,0.5574142209083178,0.248245222658275,simd,1450,1350,1450,True,1406.5,1450,-43.5,-3.0
5,25000,30000,sequential_ids,5000,7.9995285498004485,0.0,1.0,-0.0,0.0,0.0,0.2,1.0,1.0,0.0,0.22228331063198883,0.5944291723420028,0.5444291723420027,0.35002748978439496,0.5574862551078025,0.24808594703941445,simd,1450,1350,1450,False,1450.0,1450,0.0,0.0
6,30000,35000,sequential_ids,5000,7.9995285498004485,0.0,1.0,-0.0,0.0,0.0,0.2,1.0,1.0,0.0,0.22228331063198883,0.5944291723420028,0.5444291723420027,0.35002748978439496,0.5574862551078025,0.24808594703941445,simd,1450,1350,1450,False,1450.0,1450,0.0,0.0
7,35000,40000,sequential_ids,5000,7.9995285498004485,0.0,1.0,-0.0,0.0,0.0,0.2,1.0,1.0,0.0,0.22228331063198883,0.5944291723420028,0.5444291723420027,0.35002748978439496,0.5574862551078025,0.24808594703941445,simd,1450,1350,1450,False,1450.0,1450,0.0,0.0
8,40000,45000,uniform_32bit,5000,7.963296528831525,0.0,0.0,0.8946105653340322,0.3716743348669734,0.0,0.717253450690138,1431135232.774555,0.9952674862637735,0.99927587372832,0.8354929610598505,0.7896901871058927,0.04160001110866003,0.9259718324769327,0.03722704687966384,0.9181577481272756,guarded_fallback,1200,1100,1900,True,1164.0,1900,-736.0,-38.73684210526316
9,45000,50000,uniform_32bit,5000,7.959427287354467,0.0,0.0,0.9014617144459919,0.3660732146429286,0.0,0.7147329465893177,1416539205.4034808,0.9947620979925904,0.9987734427468294,0.8325048757478941,0.7901350105225645,0.04239757126376743,0.9246271940865524,0.03792210854705726,0.9166711756845773,guarded_fallback,1200,1100,1900,False,1200.0,1900,-700.0,-36.8421052631579
10,50000,55000,uniform_32bit,5000,7.967695778774074,0.0,0.0,0.8965470999000297,0.3616723344668934,0.0,0.712752550510102,1410503202.0026004,0.9958421025900354,0.9985641538983234,0.8301570944313571,0.7909187059040828,0.04287651613315719,0.9235706924941107,0.03840175913639306,0.9155031544796002,guarded_fallback,1200,1100,1900,False,1200.0,1900,-700.0,-36.8421052631579
11,55000,60000,uniform_32bit,5000,7.956670212057128,0.0,0.0,0.9269578714841272,0.3750750150030006,0.0,0.7187837567513502,1434324592.160032,0.9944019774040188,0.9993849769540344,0.8373071557135382,0.7890584473565322,0.04123301333121357,0.9267882200710922,0.03685780098127306,0.9190603099674852,guarded_fallback,1200,1100,1900,False,1200.0,1900,-700.0,-36.8421052631579
12,60000,65000,zipfian_smallints,5000,0.3435505667733946,0.6836,0.2576515303060612,2.418908180528625,0.7473494698939788,0.3427483974358974,0.7275795463579896,58799778.29125825,0.0,0.8428268879358083,0.8477346609582649,0.43164348592258206,0.3310688895983244,0.7684980389804265,0.34804422012004854,0.7830772806175885,guarded_fallback,1150,1200,1500,False,1150.0,1500,-350.0,-23.333333333333332
