hardware_profile,architecture,window_id,truth_regime,coherence_score,hardware_pressure_proxy,selected_policy,selected_throughput,best_possible_policy,best_possible_throughput,fixed_scalar_throughput,fixed_simd_throughput,selected_efficiency,reference_policy,matches_reference_policy
scalar_reference,x86_64,0,low_entropy_repeating,0.98,0.01,coherent_local,1837.5,coherent_local,1837.5,1815.0000000000002,979.9999999999999,1.0,coherent_local,True
scalar_reference,x86_64,1,low_entropy_repeating,0.98,0.01,coherent_local,1837.5,coherent_local,1837.5,1815.0000000000002,979.9999999999999,1.0,coherent_local,True
scalar_reference,x86_64,2,low_entropy_repeating,0.98,0.01,coherent_local,1837.5,coherent_local,1837.5,1815.0000000000002,979.9999999999999,1.0,coherent_local,True
scalar_reference,x86_64,3,low_entropy_repeating,0.98,0.01,coherent_local,1837.5,coherent_local,1837.5,1815.0000000000002,979.9999999999999,1.0,coherent_local,True
scalar_reference,x86_64,4,sequential_ids,0.56,0.25,scalar,1440.4500000000003,scalar,1485.0000000000002,1485.0000000000002,1014.9999999999999,0.9700000000000001,scalar,True
scalar_reference,x86_64,5,sequential_ids,0.56,0.25,scalar,1485.0000000000002,scalar,1485.0000000000002,1485.0000000000002,1014.9999999999999,1.0,scalar,True
scalar_reference,x86_64,6,sequential_ids,0.56,0.25,scalar,1485.0000000000002,scalar,1485.0000000000002,1485.0000000000002,1014.9999999999999,1.0,scalar,True
scalar_reference,x86_64,7,sequential_ids,0.56,0.25,scalar,1485.0000000000002,scalar,1485.0000000000002,1485.0000000000002,1014.9999999999999,1.0,scalar,True
scalar_reference,x86_64,8,uniform_32bit,0.04,0.91,hybrid,1456.455,hybrid,1501.5,1210.0,1330.0,0.97,hybrid,True
scalar_reference,x86_64,9,uniform_32bit,0.04,0.91,hybrid,1501.5,hybrid,1501.5,1210.0,1330.0,1.0,hybrid,True
scalar_reference,x86_64,10,uniform_32bit,0.04,0.91,hybrid,1501.5,hybrid,1501.5,1210.0,1330.0,1.0,hybrid,True
scalar_reference,x86_64,11,uniform_32bit,0.04,0.91,hybrid,1501.5,hybrid,1501.5,1210.0,1330.0,1.0,hybrid,True
scalar_reference,x86_64,12,zipfian_smallints,0.35,0.78,hybrid,1410.5,hybrid,1410.5,1320.0,1050.0,1.0,hybrid,True
scalar_reference,x86_64,13,zipfian_smallints,0.35,0.78,hybrid,1410.5,hybrid,1410.5,1320.0,1050.0,1.0,hybrid,True
scalar_reference,x86_64,14,zipfian_smallints,0.35,0.78,hybrid,1410.5,hybrid,1410.5,1320.0,1050.0,1.0,hybrid,True
scalar_reference,x86_64,15,zipfian_smallints,0.35,0.78,hybrid,1410.5,hybrid,1410.5,1320.0,1050.0,1.0,hybrid,True
scalar_reference,x86_64,16,clustered_ranges,0.12,0.99,guarded_fallback,1164.0,guarded_fallback,1200.0,990.0000000000001,665.0,0.97,guarded_fallback,True
scalar_reference,x86_64,17,clustered_ranges,0.12,0.99,guarded_fallback,1200.0,guarded_fallback,1200.0,990.0000000000001,665.0,1.0,guarded_fallback,True
scalar_reference,x86_64,18,clustered_ranges,0.12,0.99,guarded_fallback,1200.0,guarded_fallback,1200.0,990.0000000000001,665.0,1.0,guarded_fallback,True
scalar_reference,x86_64,19,clustered_ranges,0.12,0.99,guarded_fallback,1200.0,guarded_fallback,1200.0,990.0000000000001,665.0,1.0,guarded_fallback,True
scalar_reference,x86_64,20,sequential_ids,0.56,0.25,scalar,1440.4500000000003,scalar,1485.0000000000002,1485.0000000000002,1014.9999999999999,0.9700000000000001,scalar,True
scalar_reference,x86_64,21,sequential_ids,0.56,0.25,scalar,1485.0000000000002,scalar,1485.0000000000002,1485.0000000000002,1014.9999999999999,1.0,scalar,True
scalar_reference,x86_64,22,sequential_ids,0.56,0.25,scalar,1485.0000000000002,scalar,1485.0000000000002,1485.0000000000002,1014.9999999999999,1.0,scalar,True
scalar_reference,x86_64,23,sequential_ids,0.56,0.25,scalar,1485.0000000000002,scalar,1485.0000000000002,1485.0000000000002,1014.9999999999999,1.0,scalar,True
scalar_reference,x86_64,24,uniform_32bit,0.04,0.91,hybrid,1456.455,hybrid,1501.5,1210.0,1330.0,0.97,hybrid,True
scalar_reference,x86_64,25,uniform_32bit,0.04,0.91,hybrid,1501.5,hybrid,1501.5,1210.0,1330.0,1.0,hybrid,True
scalar_reference,x86_64,26,uniform_32bit,0.04,0.91,hybrid,1501.5,hybrid,1501.5,1210.0,1330.0,1.0,hybrid,True
scalar_reference,x86_64,27,uniform_32bit,0.04,0.91,hybrid,1501.5,hybrid,1501.5,1210.0,1330.0,1.0,hybrid,True
scalar_reference,x86_64,28,low_entropy_repeating,0.98,0.01,coherent_local,1782.375,coherent_local,1837.5,1815.0000000000002,979.9999999999999,0.97,coherent_local,True
scalar_reference,x86_64,29,low_entropy_repeating,0.98,0.01,coherent_local,1837.5,coherent_local,1837.5,1815.0000000000002,979.9999999999999,1.0,coherent_local,True
scalar_reference,x86_64,30,low_entropy_repeating,0.98,0.01,coherent_local,1837.5,coherent_local,1837.5,1815.0000000000002,979.9999999999999,1.0,coherent_local,True
scalar_reference,x86_64,31,low_entropy_repeating,0.98,0.01,coherent_local,1837.5,coherent_local,1837.5,1815.0000000000002,979.9999999999999,1.0,coherent_local,True
avx2_linux,x86_64,0,low_entropy_repeating,0.98,0.01,coherent_local,1749.92125,simd,1749.92125,1649.92575,1749.92125,1.0,coherent_local,True
avx2_linux,x86_64,1,low_entropy_repeating,0.98,0.01,coherent_local,1749.92125,simd,1749.92125,1649.92575,1749.92125,1.0,coherent_local,True
avx2_linux,x86_64,2,low_entropy_repeating,0.98,0.01,coherent_local,1749.92125,simd,1749.92125,1649.92575,1749.92125,1.0,coherent_local,True
avx2_linux,x86_64,3,low_entropy_repeating,0.98,0.01,coherent_local,1749.92125,simd,1749.92125,1649.92575,1749.92125,1.0,coherent_local,True
avx2_linux,x86_64,4,sequential_ids,0.56,0.25,simd,1747.0948046874998,simd,1810.4609375,1348.48125,1810.4609375,0.965,scalar,False
avx2_linux,x86_64,5,sequential_ids,0.56,0.25,simd,1810.4609375,simd,1810.4609375,1348.48125,1810.4609375,1.0,scalar,False
avx2_linux,x86_64,6,sequential_ids,0.56,0.25,simd,1810.4609375,simd,1810.4609375,1348.48125,1810.4609375,1.0,scalar,False
avx2_linux,x86_64,7,sequential_ids,0.56,0.25,simd,1810.4609375,simd,1810.4609375,1348.48125,1810.4609375,1.0,scalar,False
avx2_linux,x86_64,8,uniform_32bit,0.04,0.91,simd,2365.274375,simd,2365.274375,1095.4955,2365.274375,1.0,hybrid,False
avx2_linux,x86_64,9,uniform_32bit,0.04,0.91,simd,2365.274375,simd,2365.274375,1095.4955,2365.274375,1.0,hybrid,False
avx2_linux,x86_64,10,uniform_32bit,0.04,0.91,simd,2365.274375,simd,2365.274375,1095.4955,2365.274375,1.0,hybrid,False
avx2_linux,x86_64,11,uniform_32bit,0.04,0.91,simd,2365.274375,simd,2365.274375,1095.4955,2365.274375,1.0,hybrid,False
avx2_linux,x86_64,12,zipfian_smallints,0.35,0.78,simd,1868.41875,simd,1868.41875,1195.788,1868.41875,1.0,hybrid,False
avx2_linux,x86_64,13,zipfian_smallints,0.35,0.78,simd,1868.41875,simd,1868.41875,1195.788,1868.41875,1.0,hybrid,False
avx2_linux,x86_64,14,zipfian_smallints,0.35,0.78,simd,1868.41875,simd,1868.41875,1195.788,1868.41875,1.0,hybrid,False
avx2_linux,x86_64,15,zipfian_smallints,0.35,0.78,simd,1868.41875,simd,1868.41875,1195.788,1868.41875,1.0,hybrid,False
avx2_linux,x86_64,16,clustered_ranges,0.12,0.99,guarded_fallback,1111.1721542168673,simd,1182.2096875,895.9905,1182.2096875,0.9399112238427393,guarded_fallback,True
avx2_linux,x86_64,17,clustered_ranges,0.12,0.99,guarded_fallback,1151.473734939759,simd,1182.2096875,895.9905,1182.2096875,0.974001268230818,guarded_fallback,True
avx2_linux,x86_64,18,clustered_ranges,0.12,0.99,guarded_fallback,1151.473734939759,simd,1182.2096875,895.9905,1182.2096875,0.974001268230818,guarded_fallback,True
avx2_linux,x86_64,19,clustered_ranges,0.12,0.99,guarded_fallback,1151.473734939759,simd,1182.2096875,895.9905,1182.2096875,0.974001268230818,guarded_fallback,True
avx2_linux,x86_64,20,sequential_ids,0.56,0.25,simd,1747.0948046874998,simd,1810.4609375,1348.48125,1810.4609375,0.965,scalar,False
avx2_linux,x86_64,21,sequential_ids,0.56,0.25,simd,1810.4609375,simd,1810.4609375,1348.48125,1810.4609375,1.0,scalar,False
avx2_linux,x86_64,22,sequential_ids,0.56,0.25,simd,1810.4609375,simd,1810.4609375,1348.48125,1810.4609375,1.0,scalar,False
avx2_linux,x86_64,23,sequential_ids,0.56,0.25,simd,1810.4609375,simd,1810.4609375,1348.48125,1810.4609375,1.0,scalar,False
avx2_linux,x86_64,24,uniform_32bit,0.04,0.91,simd,2365.274375,simd,2365.274375,1095.4955,2365.274375,1.0,hybrid,False
avx2_linux,x86_64,25,uniform_32bit,0.04,0.91,simd,2365.274375,simd,2365.274375,1095.4955,2365.274375,1.0,hybrid,False
avx2_linux,x86_64,26,uniform_32bit,0.04,0.91,simd,2365.274375,simd,2365.274375,1095.4955,2365.274375,1.0,hybrid,False
avx2_linux,x86_64,27,uniform_32bit,0.04,0.91,simd,2365.274375,simd,2365.274375,1095.4955,2365.274375,1.0,hybrid,False
avx2_linux,x86_64,28,low_entropy_repeating,0.98,0.01,coherent_local,1688.67400625,simd,1749.92125,1649.92575,1749.92125,0.965,coherent_local,True
avx2_linux,x86_64,29,low_entropy_repeating,0.98,0.01,coherent_local,1749.92125,simd,1749.92125,1649.92575,1749.92125,1.0,coherent_local,True
avx2_linux,x86_64,30,low_entropy_repeating,0.98,0.01,coherent_local,1749.92125,simd,1749.92125,1649.92575,1749.92125,1.0,coherent_local,True
avx2_linux,x86_64,31,low_entropy_repeating,0.98,0.01,coherent_local,1749.92125,simd,1749.92125,1649.92575,1749.92125,1.0,coherent_local,True
avx512_linux,x86_64,0,low_entropy_repeating,0.98,0.01,simd,2029.67114,simd,2029.67114,1567.246065,2029.67114,1.0,coherent_local,False
avx512_linux,x86_64,1,low_entropy_repeating,0.98,0.01,simd,2029.67114,simd,2029.67114,1567.246065,2029.67114,1.0,coherent_local,False
avx512_linux,x86_64,2,low_entropy_repeating,0.98,0.01,simd,2029.67114,simd,2029.67114,1567.246065,2029.67114,1.0,coherent_local,False
avx512_linux,x86_64,3,low_entropy_repeating,0.98,0.01,simd,2029.67114,simd,2029.67114,1567.246065,2029.67114,1.0,coherent_local,False
avx512_linux,x86_64,4,sequential_ids,0.56,0.25,simd,2093.984875,simd,2093.984875,1277.305875,2093.984875,1.0,scalar,False
