hardware_profile,architecture,window_id,truth_regime,coherence_score,hardware_pressure_proxy,selected_policy,selected_throughput,best_possible_policy,best_possible_throughput,selected_efficiency,learned_policy_tree,learned_policy_forest,learned_policy,learned_matches_rule,learned_estimated_throughput,learned_gain_vs_rule,learned_gain_pct_vs_rule
scalar_reference,x86_64,0,low_entropy_repeating,0.95,0.02,coherent_local,1746.5669736892944,coherent_local,1950,0.8523643249400513,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,-26.512334782216158,-1.5179684021056368
scalar_reference,x86_64,1,sequential_ids,0.55,0.3,scalar,1453.4282711630744,scalar,1950,0.8023224268498633,scalar,scalar,scalar,True,1450.8791603384186,-2.549110824655827,-0.1753860768523483
scalar_reference,x86_64,2,uniform_32bit,0.08,0.88,simd,1809.4126110147404,simd,1950,0.7671298334287249,simd,simd,simd,True,1924.295987122199,114.88337610745862,6.349208323635516
scalar_reference,x86_64,3,zipfian_smallints,0.42,0.72,hybrid,1421.5512418145236,hybrid,1950,0.9386112211144735,scalar,hybrid,hybrid,True,1570.0427370411996,148.49149522667608,10.445736380008064
scalar_reference,x86_64,4,clustered_ranges,0.18,0.98,guarded_fallback,1306.3334653373684,guarded_fallback,1950,0.9110005847490761,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,-89.26312094782429,-6.833103745433908
scalar_reference,x86_64,5,low_entropy_repeating,0.95,0.02,coherent_local,1803.7009940734292,coherent_local,1950,0.8576328702943886,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,-83.64635516635099,-4.637484563195052
scalar_reference,x86_64,6,sequential_ids,0.55,0.3,scalar,1461.0676619268636,scalar,1950,0.8750190933209334,scalar,scalar,scalar,True,1450.8791603384186,-10.188501588444979,-0.6973326324263676
scalar_reference,x86_64,7,uniform_32bit,0.08,0.88,simd,1947.5362773097734,simd,1950,0.8153944553211121,simd,simd,simd,True,1924.295987122199,-23.240290187574374,-1.193317447194222
scalar_reference,x86_64,8,zipfian_smallints,0.42,0.72,hybrid,1496.361405747724,hybrid,1950,0.924049840794017,scalar,hybrid,hybrid,True,1570.0427370411996,73.68133129347575,4.924033125316914
scalar_reference,x86_64,9,clustered_ranges,0.18,0.98,guarded_fallback,1288.8598089528202,guarded_fallback,1950,0.941200341925795,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,-71.78946456327617,-5.569997920999962
scalar_reference,x86_64,10,low_entropy_repeating,0.95,0.02,coherent_local,1855.0405812738518,coherent_local,1950,0.77571404055384,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,-134.98594236677354,-7.2767110180457095
scalar_reference,x86_64,11,sequential_ids,0.55,0.3,scalar,1342.285358803068,scalar,1950,0.8001648916216892,scalar,scalar,scalar,True,1450.8791603384186,108.59380153535062,8.090217242046432
scalar_reference,x86_64,12,uniform_32bit,0.08,0.88,simd,1805.3132940812095,simd,1950,0.9229595174033173,simd,simd,simd,True,1924.295987122199,118.98269304098949,6.5906950018636055
scalar_reference,x86_64,13,zipfian_smallints,0.42,0.72,hybrid,1663.0872519751417,hybrid,1950,0.9161966637778223,scalar,hybrid,hybrid,True,1570.0427370411996,-93.04451493394208,-5.594686317476073
scalar_reference,x86_64,14,clustered_ranges,0.18,0.98,guarded_fallback,1279.435996533387,guarded_fallback,1950,0.8885486735930305,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,-62.36565214384291,-4.874464397814484
scalar_reference,x86_64,15,low_entropy_repeating,0.95,0.02,coherent_local,1765.5327451081519,coherent_local,1950,0.863383367775873,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,-45.478106201073615,-2.575885739139194
scalar_reference,x86_64,16,sequential_ids,0.55,0.3,scalar,1469.4058832750159,scalar,1950,0.9190149585595804,scalar,scalar,scalar,True,1450.8791603384186,-18.526722936597253,-1.2608308669150583
scalar_reference,x86_64,17,uniform_32bit,0.08,0.88,simd,2031.1284212632027,simd,1950,0.8298611538435146,simd,simd,simd,True,1924.295987122199,-106.83243414100366,-5.259757729871273
scalar_reference,x86_64,18,zipfian_smallints,0.42,0.72,hybrid,1518.7847884574476,hybrid,1950,0.8340757591458522,scalar,hybrid,hybrid,True,1570.0427370411996,51.25794858375207,3.374931654129362
scalar_reference,x86_64,19,clustered_ranges,0.18,0.98,guarded_fallback,1180.8909109750227,guarded_fallback,1950,0.8060151925260318,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,36.17943341452133,3.0637405266036946
scalar_reference,x86_64,20,low_entropy_repeating,0.95,0.02,coherent_local,1625.225827294254,coherent_local,1950,0.9062235177634942,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,94.82881161282421,5.834808309113528
scalar_reference,x86_64,21,sequential_ids,0.55,0.3,scalar,1531.5241007570667,scalar,1950,0.8232693830864152,scalar,scalar,scalar,True,1450.8791603384186,-80.64494041864805,-5.2656657756011445
scalar_reference,x86_64,22,uniform_32bit,0.08,0.88,simd,1849.2118278641888,simd,1950,0.8887866161314728,simd,simd,simd,True,1924.295987122199,75.08415925801023,4.0603330633425205
scalar_reference,x86_64,23,zipfian_smallints,0.42,0.72,hybrid,1610.119255003783,hybrid,1950,0.816053767333863,scalar,hybrid,hybrid,True,1570.0427370411996,-40.076517962583466,-2.489040351392438
scalar_reference,x86_64,24,clustered_ranges,0.18,0.98,guarded_fallback,1159.2645208006356,guarded_fallback,1950,0.7821442466464016,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,57.805823588908424,4.986422214404125
scalar_reference,x86_64,25,low_entropy_repeating,0.95,0.02,coherent_local,1584.6452192988827,coherent_local,1950,0.8483197835209809,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,135.40941960819555,8.545093750896916
scalar_reference,x86_64,26,sequential_ids,0.55,0.3,scalar,1447.5636861054224,scalar,1950,0.8895472432953571,scalar,scalar,scalar,True,1450.8791603384186,3.3154742329961664,0.22903822918604969
scalar_reference,x86_64,27,uniform_32bit,0.08,0.88,simd,1975.1397622611782,simd,1950,0.9203667871964316,simd,simd,simd,True,1924.295987122199,-50.843775138979254,-2.5741861973743223
scalar_reference,x86_64,28,zipfian_smallints,0.42,0.72,hybrid,1659.0685201544688,hybrid,1950,0.7600093940708138,scalar,hybrid,hybrid,True,1570.0427370411996,-89.0257831132692,-5.36601002500972
scalar_reference,x86_64,29,clustered_ranges,0.18,0.98,guarded_fallback,1092.0112728849765,guarded_fallback,1950,0.7971597609625065,guarded_fallback,guarded_fallback,guarded_fallback,True,1217.070344389544,125.05907150456756,11.452177702724159
avx2_linux,x86_64,30,low_entropy_repeating,0.95,0.02,coherent_local,1610.1715936362612,coherent_local,1950,0.9306343621829721,coherent_local,coherent_local,coherent_local,True,1720.0546389070782,109.88304527081709,6.824306533856276
avx2_linux,x86_64,31,sequential_ids,0.55,0.3,hybrid,1674.9832613836068,hybrid,1950,0.7820485660749537,hybrid,hybrid,hybrid,True,1578.8490912689192,-96.13417011468755,-5.7394107947847
