window_id,truth_regime,approx_entropy_bits,repetition_ratio,locality_small_delta_ratio,cache_window_reuse_proxy,branch_pressure_score,coherence_score,hardware_pressure_proxy,delta_abs_mean,entropy_norm,branch_norm,delta_norm,predicted_regime_tree,predicted_regime_forest,predicted_regime,regime_prediction_correct,regime_confidence,regime_probability,policy_from_truth,policy_from_predicted_regime,policy_correct_from_regime
0,low_entropy_repeating,2.0243773663803544,0.9692003178751901,1.0,0.9682169414917363,0.0,0.9109346147941304,0.02383521209501856,0.0,0.19847256593475074,0.0,0.0,low_entropy_repeating,low_entropy_repeating,low_entropy_repeating,True,1.0,1.0,coherent_local,coherent_local,True
1,low_entropy_repeating,1.9747005926125134,0.9896639768499143,0.9744086821727926,0.9663819392458848,0.04333375806286845,0.9519809209268364,0.05381723620904098,0.0,0.19287548691013223,0.050301638136070796,0.0,low_entropy_repeating,low_entropy_repeating,low_entropy_repeating,True,1.0,1.0,coherent_local,coherent_local,True
2,low_entropy_repeating,2.037400747380164,0.9728141507423352,1.0,0.91123352197513,0.04635350903921817,0.9485022226704124,0.014454129093642184,0.0,0.19993990946563917,0.053806951952911165,0.0,low_entropy_repeating,low_entropy_repeating,low_entropy_repeating,True,1.0,1.0,coherent_local,coherent_local,True
3,low_entropy_repeating,1.9455256364476847,1.0,0.9953641155379359,0.9271501653351067,0.009435993485353114,0.9659692755666004,0.030963321930922348,0.0,0.18958834640544756,0.0109532602518789,0.0,low_entropy_repeating,low_entropy_repeating,low_entropy_repeating,True,1.0,1.0,coherent_local,coherent_local,True
4,sequential_ids,9.033018608927678,0.008616420060157655,1.0,0.0,0.1846327181278539,0.5255868181525637,0.26847938267726484,0.0,0.9881357407831278,0.2143208572372709,0.0,sequential_ids,sequential_ids,sequential_ids,True,1.0,1.0,hybrid,hybrid,True
5,sequential_ids,9.090317783417671,0.0,0.9747953056911242,0.0,0.21951778363474103,0.5722976251361033,0.2662946280491558,0.0,0.9945916352251601,0.25481528975186474,0.0,sequential_ids,sequential_ids,sequential_ids,True,1.0,1.0,hybrid,hybrid,True
6,sequential_ids,8.946759223416905,0.0046432264613343955,1.0,0.006560657901870388,0.22614286333844572,0.5567078664632406,0.2703674068921568,0.0,0.9784169011584948,0.2625056534954131,0.0,sequential_ids,sequential_ids,sequential_ids,True,1.0,1.0,hybrid,hybrid,True
7,sequential_ids,9.005406325559111,0.005782387973799683,1.0,0.0,0.19040986350928096,0.5358888203712162,0.23083366455269974,0.0,0.9850246665256431,0.22102694250258337,0.0,sequential_ids,sequential_ids,sequential_ids,True,1.0,1.0,hybrid,hybrid,True
8,uniform_32bit,8.977988619901865,0.029898826224687917,0.0,0.029048350637744424,0.6695139068515258,0.06995344910042675,0.9148825919531502,0.0,0.9819355153268452,0.777168834991257,0.0,uniform_32bit,uniform_32bit,uniform_32bit,True,1.0,1.0,simd,simd,True
9,uniform_32bit,9.046897786508742,0.0142245315958571,0.023800417055997756,0.0,0.7061294462200629,0.10573927643771461,0.9042608702535516,0.0,0.9896995068618384,0.8196719940480159,0.0,uniform_32bit,uniform_32bit,uniform_32bit,True,1.0,1.0,simd,simd,True
10,uniform_32bit,8.897945094132966,0.0,0.0,0.01491482232161292,0.7242727720821169,0.10071456062203304,0.897182420609904,0.0,0.9729170162344656,0.8407326879018424,0.0,uniform_32bit,uniform_32bit,uniform_32bit,True,1.0,1.0,simd,simd,True
11,uniform_32bit,9.012683175286137,0.012511807879346734,0.0,0.013703257126722343,0.7001422217680005,0.06910838460304784,0.8985478631800502,0.0,0.985844548733831,0.8127220499100035,0.0,uniform_32bit,uniform_32bit,uniform_32bit,True,1.0,1.0,simd,simd,True
12,zipfian_smallints,0.4043328283528768,0.8097394496157116,0.2559179297939183,0.3503748235618306,0.7344223997671773,0.4333959352808983,0.7999615532691836,0.0,0.01594224814242691,0.8525143316330198,0.0,zipfian_smallints,zipfian_smallints,zipfian_smallints,True,1.0,1.0,hybrid,hybrid,True
13,zipfian_smallints,0.4921211612392461,0.791534033759117,0.26760845367280806,0.29937996698125907,0.6765866258273073,0.38031901162936793,0.7500825951719555,0.0,0.025833354173201675,0.7853788164574788,0.0,zipfian_smallints,zipfian_smallints,zipfian_smallints,True,1.0,1.0,hybrid,hybrid,True
14,zipfian_smallints,0.531981938137875,0.7818904188927989,0.25865512337881835,0.3889768489335819,0.7093120808681572,0.44212546705401257,0.7519914695997038,0.0,0.030324465438336685,0.8233663825235205,0.0,zipfian_smallints,zipfian_smallints,zipfian_smallints,True,1.0,1.0,hybrid,hybrid,True
15,zipfian_smallints,0.4835649953705896,0.7809995589017884,0.2598290077229831,0.37520924412372186,0.6681803873042296,0.4330327093063757,0.7871320680699684,0.0,0.02486933149454664,0.775620891292994,0.0,zipfian_smallints,zipfian_smallints,zipfian_smallints,True,1.0,1.0,hybrid,hybrid,True
16,clustered_ranges,3.3524680035442564,0.9510788429122309,0.0021638852314160855,0.0,0.7969802863406411,0.1806555643657033,1.0,0.0,0.34810845579349314,0.9251312546427995,0.0,clustered_ranges,clustered_ranges,clustered_ranges,True,1.0,1.0,guarded_fallback,guarded_fallback,True
17,clustered_ranges,3.380851549802158,0.9595300501475627,0.0053782690486894845,0.016599900519152954,0.8307756272572131,0.20505333737743736,1.0,0.0,0.35130642819296554,0.964360739586253,0.0,clustered_ranges,clustered_ranges,clustered_ranges,True,1.0,1.0,guarded_fallback,guarded_fallback,True
