window_id,truth_regime,predicted_regime,policy,throughput,latency,pressure,coherence,regime_confidence,pareto_efficient,throughput_score,latency_score,pressure_score,coherence_score_obj,objective_throughput_first,objective_latency_first,objective_balanced_constraint,objective_profile,objective_score
0,low_entropy_repeating,low_entropy_repeating,coherent_local,1769.6993438899196,0.5734710745964838,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
1,sequential_ids,sequential_ids,simd,1452.7805287688884,0.6886768518272186,0.3,0.6025,0.95,True,1.0,1.0,0.2857142857142859,0.2857142857142884,0.8214285714285718,0.8214285714285717,0.6785714285714293,throughput_first,0.8214285714285718
2,uniform_32bit,uniform_32bit,simd,1922.1670701597252,0.5238165541133398,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
3,zipfian_smallints,zipfian_smallints,hybrid,1548.8392225695695,0.640479288745468,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
4,clustered_ranges,clustered_ranges,guarded_fallback,1197.2184693227616,0.8619934303186875,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
5,low_entropy_repeating,low_entropy_repeating,coherent_local,1759.592906689557,0.5768206366400325,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
6,sequential_ids,sequential_ids,hybrid,1412.9355678740853,0.7034398191495709,0.27,0.613,0.95,True,0.9204007819330632,0.9654683108617058,0.6428571428571426,0.6428571428571442,0.8577750015033797,0.8758020130748367,0.80677302658106,throughput_first,0.8577750015033797
7,uniform_32bit,uniform_32bit,simd,1896.7524974568362,0.5309058822883563,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
8,zipfian_smallints,zipfian_smallints,hybrid,1552.7129450625218,0.638879816232249,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
9,clustered_ranges,clustered_ranges,guarded_fallback,1212.220444135294,0.8512420150363725,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
10,low_entropy_repeating,low_entropy_repeating,coherent_local,1711.7496597287886,0.5926772556327443,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
11,sequential_ids,sequential_ids,hybrid,1420.3338454464213,0.6996878355236007,0.27,0.613,0.95,True,0.9339054227484306,0.9746183390689453,0.6428571428571426,0.6428571428571442,0.867250290223686,0.8835354567518919,0.8131119258774802,throughput_first,0.867250290223686
12,uniform_32bit,uniform_32bit,simd,1890.4557766454054,0.5326623359883869,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
13,zipfian_smallints,zipfian_smallints,hybrid,1545.5521744465025,0.6418365215188635,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
14,clustered_ranges,clustered_ranges,guarded_fallback,1208.9488933929679,0.8535866264017065,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
15,low_entropy_repeating,low_entropy_repeating,coherent_local,1754.1616668907639,0.5786207046876325,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
16,sequential_ids,sequential_ids,simd,1435.6031107818003,0.6968509334900399,0.3,0.6025,0.95,True,1.0,1.0,0.2857142857142859,0.2857142857142884,0.8214285714285718,0.8214285714285717,0.6785714285714293,throughput_first,0.8214285714285718
17,uniform_32bit,uniform_32bit,simd,1886.6220333042222,0.5337317486046116,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
18,zipfian_smallints,zipfian_smallints,hybrid,1510.7694744104758,0.6561984105659971,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
19,clustered_ranges,clustered_ranges,guarded_fallback,1207.195936081022,0.8548429124752677,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
20,low_entropy_repeating,low_entropy_repeating,coherent_local,1740.6480707596377,0.5830994965482345,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
21,sequential_ids,sequential_ids,simd,1429.337020305695,0.6998327282683245,0.3,0.6025,0.95,True,1.0,1.0,0.2857142857142859,0.2857142857142884,0.8214285714285718,0.8214285714285717,0.6785714285714293,throughput_first,0.8214285714285718
22,uniform_32bit,uniform_32bit,simd,1906.7754646664698,0.5281100019614584,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
23,zipfian_smallints,zipfian_smallints,hybrid,1544.4349816612523,0.642297814023741,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
24,clustered_ranges,clustered_ranges,guarded_fallback,1224.4653763543279,0.8424664802793984,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
25,low_entropy_repeating,low_entropy_repeating,coherent_local,1718.7949698240252,0.5903422385726087,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
26,sequential_ids,sequential_ids,simd,1420.0570762906505,0.7042487016272078,0.3,0.6025,0.95,True,1.0,1.0,0.2857142857142859,0.2857142857142884,0.8214285714285718,0.8214285714285717,0.6785714285714293,throughput_first,0.8214285714285718
27,uniform_32bit,uniform_32bit,simd,1908.9351446523306,0.527507564912771,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
28,zipfian_smallints,zipfian_smallints,hybrid,1531.099119534035,0.6478042345149791,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
29,clustered_ranges,clustered_ranges,guarded_fallback,1219.1876441541776,0.8462488550228394,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
30,low_entropy_repeating,low_entropy_repeating,coherent_local,1706.0395727015107,0.5945697416189278,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,throughput_first,1.0
31,sequential_ids,sequential_ids,simd,1452.8334708420352,0.6886516587027556,0.3,0.6025,0.95,True,1.0,1.0,0.2857142857142859,0.2857142857142884,0.8214285714285718,0.8214285714285717,0.6785714285714293,throughput_first,0.8214285714285718
