window_id,entropy_norm,repetition_ratio,locality_small_delta_ratio,cache_window_reuse_proxy,branch_norm,coherence_score,hardware_pressure_proxy,dominant_truth_regime,true_weight_low_entropy_repeating,true_weight_sequential_ids,true_weight_uniform_32bit,true_weight_zipfian_smallints,true_weight_clustered_ranges,estimated_weight_low_entropy_repeating,estimated_weight_sequential_ids,estimated_weight_uniform_32bit,estimated_weight_zipfian_smallints,estimated_weight_clustered_ranges,estimated_dominant_regime,mixture_entropy,reconstruction_residual,reconstructed_entropy_norm,reconstructed_repetition_ratio,reconstructed_locality_small_delta_ratio,reconstructed_cache_window_reuse_proxy,reconstructed_branch_norm,reconstructed_coherence_score,reconstructed_hardware_pressure_proxy,mixture_policy,hard_policy_from_dominant,policy_changed_by_mixture_entropy
0,0.2676179269938608,0.7580003973439876,1.0,0.7755141179097803,0.007224120283654094,0.837445512328442,0.06919601007918214,low_entropy_repeating,0.8,0.2,0.0,0.0,0.0,0.8011837558651114,0.1988162441348887,0.0,0.0,0.0,low_entropy_repeating,0.7195542562266818,0.06635276886153735,0.2590529953079109,0.7851600807478091,1.0,0.7531127305132046,0.05578692394427996,0.8704735023460446,0.0657277361510244,coherent_local,coherent_local,False
1,0.9320939351914105,0.0,0.5786739018106605,0.021984949371570715,0.4274447983857237,0.3636507674390304,0.5301810301742008,sequential_ids,0.0,0.6,0.4,0.0,0.0,0.014946759624801577,0.5554254766539766,0.4296277637212218,0.0,0.0,sequential_ids,1.0854721052539402,0.02137850207000703,0.9310053686722809,0.014647824432305546,0.5703722362787782,0.014049954047313481,0.420716020402571,0.35405365490094637,0.5172277364306653,hybrid,hybrid,False
2,0.7656877335563012,0.21851768842791902,0.09021876960206247,0.08102793497927502,0.7419612575326818,0.18075185222534368,0.8273784409113685,uniform_32bit,0.0,0.0,0.7,0.3,0.0,0.0,0.008859119863109277,0.7123277227424112,0.2788131573944796,0.0,uniform_32bit,0.9227602107264876,0.031619522974890485,0.7704872989502158,0.2230505259155837,0.08413867235961878,0.09758460508806785,0.7153932576711832,0.17896025984978442,0.8298086493031245,simd,simd,False
3,0.3294767613899015,0.9115635334668508,0.14463676294827996,0.18629180444592233,0.7426966612377943,0.3253077296388337,0.8461361016091019,zipfian_smallints,0.0,0.0,0.0,0.55,0.45,0.008220961858332078,0.0,0.0,0.5322582001230124,0.4595208380186557,zipfian_smallints,1.0566812545040685,0.0371264132881907,0.3493650331182361,0.884193523977858,0.15193067589154544,0.19861328257007305,0.7464117853604736,0.31407210866043866,0.8337207445840181,hybrid,hybrid,False
4,0.4253183152898997,0.990770525075197,0.35354119002176154,0.2788396245903846,0.5461939317732115,0.39065568179380306,0.7073994855643874,clustered_ranges,0.3,0.0,0.0,0.0,0.7,0.2929858334501458,0.024813101105433513,0.0,0.0,0.6822010654444206,clustered_ranges,1.0276200880422424,0.052205833517042236,0.4268409603343361,0.955683160916675,0.3177989345555793,0.2822286940975812,0.5497611785911819,0.4147799391656226,0.6806200360808935,guarded_fallback,guarded_fallback,False
5,0.3402243073180223,0.7091513135586281,0.4869960880759368,0.495387969607719,0.4562648196956175,0.5825813542800861,0.48557885670762985,low_entropy_repeating,0.4,0.0,0.2,0.4,0.0,0.3884879312938037,0.004066272991060428,0.21277606345428363,0.3760468800888938,0.018622852171958297,low_entropy_repeating,1.6748865095168743,0.030972615799796124,0.3332155093861964,0.6998060718675618,0.49408686190886547,0.49698129196900787,0.4472475857910229,0.5496138729788274,0.4850334115059334,hybrid,coherent_local,True
6,0.5448622573177826,0.588804033076668,0.4339171452285182,0.11396721491822533,0.5842857194487048,0.38708988871936706,0.6634728390767973,sequential_ids,0.0,0.35,0.0,0.3,0.35,0.0,0.3305654738060767,0.01058110165874913,0.3394310674528779,0.3194223570822964,zipfian_smallints,1.6523728912743272,0.016180808617097562,0.5448699166209993,0.5845787639029528,0.42221186201835376,0.12199509717933021,0.5704655186166009,0.38271457133106423,0.649377016417941,hybrid,hybrid,False
7,0.7766894767372223,0.49722798496724957,0.01578220564596351,0.0,0.7470082195910674,0.11824068364268012,0.9140280537939164,uniform_32bit,0.0,0.0,0.5,0.0,0.5,0.0,0.011134038410185157,0.4855084849697056,0.0,0.5033574766201092,clustered_ranges,1.0768542454753265,0.021193453176572414,0.7723757316799323,0.49329032708770704,0.011134038410185157,0.005033574766201092,0.7494453233901114,0.13556874571479793,0.9233213034635943,guarded_fallback,guarded_fallback,False
8,0.25312144371933293,0.8213735327808599,0.9783542221076689,0.7762069588647871,0.01392825570960489,0.8616278742503556,0.07006882662762515,low_entropy_repeating,0.8,0.2,0.0,0.0,0.0,0.8299787739445029,0.16609013397811093,4.528305578319047e-05,0.0,0.0038858090216029153,low_entropy_repeating,0.6850792643325444,0.04814033495846524,0.23466147599241494,0.8171872913067837,0.9960689079226138,0.7802189055980486,0.05291999520174244,0.88053247720359,0.061970050903677854,coherent_local,coherent_local,False
9,0.954655558283982,0.017780664494821376,0.6198336808799981,0.0,0.39644120518338577,0.38344939703142883,0.4972173918779596,sequential_ids,0.0,0.6,0.4,0.0,0.0,0.0018294301811879537,0.6159252319592547,0.37040071567488986,0.0,0.011844622184667529,sequential_ids,1.0538022976245365,0.016377925786327144,0.931430909657905,0.013400571318538373,0.6177546621404427,0.0018381105921633516,0.39926740180728276,0.37226092549695006,0.49157825612831474,hybrid,hybrid,False
