window_id,new_dominant_prototype,updated_policy,new_residual,new_drift_score,parent_route,child_route,hierarchical_route,parent_changed,child_changed,policy_changed,parent_switch_rate,child_switch_rate,policy_switch_rate,hierarchical_stability_score
0,low_entropy_repeating,coherent_local,0.18760095362557028,0.15752255979032287,parent_2,low_entropy_repeating,parent_2 / low_entropy_repeating / coherent_local,True,True,True,1.0,1.0,1.0,0.0
1,zipfian_smallints,hybrid,0.30643388298347285,0.022448240567308167,parent_0,zipfian_smallints,parent_0 / zipfian_smallints / hybrid,True,True,True,1.0,1.0,1.0,0.0
2,uniform_32bit,simd,0.2576704241900371,0.10418787038282089,parent_0,uniform_32bit,parent_0 / uniform_32bit / simd,False,True,True,0.6666666666666666,1.0,1.0,0.16666666666666674
3,clustered_ranges,guarded_fallback,0.24899193054974267,0.07734780362132099,parent_0,clustered_ranges,parent_0 / clustered_ranges / guarded_fallback,False,True,True,0.5,1.0,1.0,0.25
4,uniform_32bit,simd,0.2966675161257369,0.1233015348780608,parent_0,uniform_32bit,parent_0 / uniform_32bit / simd,False,True,True,0.4,1.0,1.0,0.3
5,sequential_ids,hybrid,0.31763447241808196,0.14337546711260227,parent_1,sequential_ids,parent_1 / sequential_ids / hybrid,True,True,True,0.5,1.0,1.0,0.25
6,uniform_32bit,simd,0.27212504704494994,0.07205586995855004,parent_0,uniform_32bit,parent_0 / uniform_32bit / simd,True,True,True,0.5714285714285714,1.0,1.0,0.2142857142857143
7,sequential_ids,hybrid,0.30270701807843636,0.11750370445068735,parent_1,sequential_ids,parent_1 / sequential_ids / hybrid,True,True,True,0.625,1.0,1.0,0.1875
8,low_entropy_repeating,coherent_local,0.20914422733576352,0.1811270669337015,parent_2,low_entropy_repeating,parent_2 / low_entropy_repeating / coherent_local,True,True,True,0.6666666666666666,1.0,1.0,0.16666666666666674
9,zipfian_smallints,hybrid,0.24072823107587188,0.09858360889184463,parent_0,zipfian_smallints,parent_0 / zipfian_smallints / hybrid,True,True,True,0.7,1.0,1.0,0.15000000000000002
10,zipfian_smallints,hybrid,0.28193855113320093,0.1382722032182039,parent_0,zipfian_smallints,parent_0 / zipfian_smallints / hybrid,False,False,False,0.6363636363636364,0.9090909090909091,0.9090909090909091,0.22727272727272735
11,low_entropy_repeating,coherent_local,0.2747639566957593,0.14154105015039414,parent_2,low_entropy_repeating,parent_2 / low_entropy_repeating / coherent_local,True,True,True,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.20833333333333343
12,clustered_ranges,guarded_fallback,0.22561509901692306,0.09438786354642313,parent_0,clustered_ranges,parent_0 / clustered_ranges / guarded_fallback,True,True,True,0.6923076923076923,0.9230769230769231,0.9230769230769231,0.1923076923076923
13,zipfian_smallints,hybrid,0.20117363630512733,0.15079897112877477,parent_0,zipfian_smallints,parent_0 / zipfian_smallints / hybrid,False,True,True,0.6428571428571429,0.9285714285714286,0.9285714285714286,0.2142857142857143
14,zipfian_smallints,hybrid,0.2431631525407075,0.0779921761518736,parent_0,zipfian_smallints,parent_0 / zipfian_smallints / hybrid,False,False,False,0.6,0.8666666666666667,0.8666666666666667,0.2666666666666666
15,low_entropy_repeating,coherent_local,0.20053112705852563,0.15252963939123504,parent_2,low_entropy_repeating,parent_2 / low_entropy_repeating / coherent_local,True,True,True,0.6,0.8666666666666667,0.8666666666666667,0.2666666666666666
16,clustered_ranges,guarded_fallback,0.2825892560983117,0.08672451463556527,parent_0,clustered_ranges,parent_0 / clustered_ranges / guarded_fallback,True,True,True,0.6,0.8666666666666667,0.8666666666666667,0.2666666666666666
17,uniform_32bit,simd,0.2639296793840032,0.1258342904570364,parent_0,uniform_32bit,parent_0 / uniform_32bit / simd,False,True,True,0.6,0.8666666666666667,0.8666666666666667,0.2666666666666666
18,clustered_ranges,guarded_fallback,0.3022857266768914,0.1311797774387341,parent_0,clustered_ranges,parent_0 / clustered_ranges / guarded_fallback,False,True,True,0.6,0.8666666666666667,0.8666666666666667,0.2666666666666666
19,sequential_ids,hybrid,0.2907348137843137,0.12337895347444457,parent_1,sequential_ids,parent_1 / sequential_ids / hybrid,True,True,True,0.6666666666666666,0.8666666666666667,0.8666666666666667,0.2333333333333334
20,zipfian_smallints,hybrid,0.28787729355031244,0.047142209007216676,parent_0,zipfian_smallints,parent_0 / zipfian_smallints / hybrid,True,True,False,0.6666666666666666,0.8666666666666667,0.8,0.2466666666666667
21,zipfian_smallints,hybrid,0.23081972701856193,0.09648136728536022,parent_0,zipfian_smallints,parent_0 / zipfian_smallints / hybrid,False,False,False,0.6,0.8,0.7333333333333333,0.3133333333333333
22,uniform_32bit,simd,0.23349146492639897,0.19474706556171978,parent_0,uniform_32bit,parent_0 / uniform_32bit / simd,False,True,True,0.5333333333333333,0.8,0.7333333333333333,0.34666666666666673
23,uniform_32bit,simd,0.1980501330584054,0.16841391772957404,parent_0,uniform_32bit,parent_0 / uniform_32bit / simd,False,False,False,0.4666666666666667,0.7333333333333333,0.6666666666666666,0.41333333333333333
24,clustered_ranges,guarded_fallback,0.2299068982008535,0.12813765325525028,parent_0,clustered_ranges,parent_0 / clustered_ranges / guarded_fallback,False,True,True,0.4,0.7333333333333333,0.6666666666666666,0.44666666666666677
25,uniform_32bit,simd,0.2851733398815567,0.15556132898964276,parent_0,uniform_32bit,parent_0 / uniform_32bit / simd,False,True,True,0.4,0.8,0.7333333333333333,0.4133333333333334
26,zipfian_smallints,hybrid,0.22907649566509375,0.09688241036677164,parent_0,zipfian_smallints,parent_0 / zipfian_smallints / hybrid,False,True,True,0.3333333333333333,0.8,0.7333333333333333,0.4466666666666667
27,sequential_ids,hybrid,0.30147855287542924,0.11043478375591925,parent_1,sequential_ids,parent_1 / sequential_ids / hybrid,True,True,False,0.3333333333333333,0.8,0.6666666666666666,0.4600000000000001
28,clustered_ranges,guarded_fallback,0.18200276715979116,0.07402738569991943,parent_0,clustered_ranges,parent_0 / clustered_ranges / guarded_fallback,True,True,True,0.4,0.8,0.6666666666666666,0.42666666666666675
29,clustered_ranges,guarded_fallback,0.27982964464322585,0.12712128680352824,parent_0,clustered_ranges,parent_0 / clustered_ranges / guarded_fallback,False,False,False,0.4,0.8,0.6666666666666666,0.42666666666666675
30,uniform_32bit,simd,0.22436484121980793,0.12792698455383572,parent_0,uniform_32bit,parent_0 / uniform_32bit / simd,False,True,True,0.3333333333333333,0.8,0.6666666666666666,0.4600000000000001
31,zipfian_smallints,hybrid,0.2875354236380402,0.10453267301398808,parent_0,zipfian_smallints,parent_0 / zipfian_smallints / hybrid,False,True,True,0.26666666666666666,0.8,0.6666666666666666,0.4933333333333334
32,uniform_32bit,simd,0.21028444353600093,0.1018473076717464,parent_0,uniform_32bit,parent_0 / uniform_32bit / simd,False,True,True,0.26666666666666666,0.8,0.6666666666666666,0.4933333333333334
