window_id,child_route,new_dominant_prototype,updated_policy,macro_route,macro_changed,child_changed,policy_changed,macro_switch_rate,child_switch_rate,policy_switch_rate,compressed_route_stability,macro_compression_residual,compression_quality
0,low_entropy_repeating,low_entropy_repeating,coherent_local,macro_2,True,True,True,1.0,1.0,1.0,0.0,0.0,1.0
1,zipfian_smallints,zipfian_smallints,hybrid,macro_0,True,True,True,1.0,1.0,1.0,0.0,0.25520921012980147,0.7966799414231432
2,zipfian_smallints,zipfian_smallints,hybrid,macro_0,False,False,False,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.25520921012980147,0.7966799414231432
3,uniform_32bit,uniform_32bit,simd,macro_4,True,True,True,0.75,0.75,0.75,0.2499999999999999,0.0,1.0
4,uniform_32bit,uniform_32bit,simd,macro_4,False,False,False,0.6,0.6,0.6,0.3999999999999999,0.0,1.0
5,clustered_ranges,clustered_ranges,guarded_fallback,macro_1,True,True,True,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.0,1.0
6,low_entropy_repeating,low_entropy_repeating,coherent_local,macro_2,True,True,True,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142856,0.0,1.0
7,zipfian_smallints,zipfian_smallints,hybrid,macro_0,True,True,True,0.75,0.75,0.75,0.2499999999999999,0.25520921012980147,0.7966799414231432
8,sequential_ids,sequential_ids,hybrid,macro_3,True,True,False,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.24444444444444444,0.0,1.0
9,low_entropy_repeating,low_entropy_repeating,coherent_local,macro_2,True,True,True,0.8,0.8,0.7,0.21999999999999995,0.0,1.0
10,uniform_32bit,uniform_32bit,simd,macro_4,True,True,True,0.8181818181818182,0.8181818181818182,0.7272727272727273,0.19999999999999987,0.0,1.0
11,clustered_ranges,clustered_ranges,guarded_fallback,macro_1,True,True,True,0.8333333333333334,0.8333333333333334,0.75,0.18333333333333324,0.0,1.0
12,zipfian_smallints,zipfian_smallints,hybrid,macro_0,True,True,True,0.8461538461538461,0.8461538461538461,0.7692307692307693,0.16923076923076918,0.25520921012980147,0.7966799414231432
13,zipfian_smallints,zipfian_smallints,hybrid,macro_0,False,False,False,0.7857142857142857,0.7857142857142857,0.7142857142857143,0.22857142857142856,0.25520921012980147,0.7966799414231432
14,zipfian_smallints,zipfian_smallints,hybrid,macro_0,False,False,False,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.28,0.25520921012980147,0.7966799414231432
15,zipfian_smallints,zipfian_smallints,hybrid,macro_0,False,False,False,0.6666666666666666,0.6666666666666666,0.6,0.3466666666666667,0.25520921012980147,0.7966799414231432
16,uniform_32bit,uniform_32bit,simd,macro_4,True,True,True,0.6666666666666666,0.6666666666666666,0.6,0.3466666666666667,0.0,1.0
17,low_entropy_repeating,low_entropy_repeating,coherent_local,macro_2,True,True,True,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.28,0.0,1.0
18,clustered_ranges,clustered_ranges,guarded_fallback,macro_1,True,True,True,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.28,0.0,1.0
19,uniform_32bit,uniform_32bit,simd,macro_4,True,True,True,0.8,0.8,0.7333333333333333,0.21333333333333326,0.0,1.0
20,uniform_32bit,uniform_32bit,simd,macro_4,False,False,False,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.28,0.0,1.0
21,sequential_ids,sequential_ids,hybrid,macro_3,True,True,True,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.28,0.0,1.0
22,low_entropy_repeating,low_entropy_repeating,coherent_local,macro_2,True,True,True,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.28,0.0,1.0
23,clustered_ranges,clustered_ranges,guarded_fallback,macro_1,True,True,True,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.0,1.0
24,zipfian_smallints,zipfian_smallints,hybrid,macro_0,True,True,True,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.25520921012980147,0.7966799414231432
25,zipfian_smallints,zipfian_smallints,hybrid,macro_0,False,False,False,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.25520921012980147,0.7966799414231432
26,uniform_32bit,uniform_32bit,simd,macro_4,True,True,True,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.0,1.0
27,clustered_ranges,clustered_ranges,guarded_fallback,macro_1,True,True,True,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.0,1.0
28,uniform_32bit,uniform_32bit,simd,macro_4,True,True,True,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.0,1.0
29,uniform_32bit,uniform_32bit,simd,macro_4,False,False,False,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.0,1.0
30,uniform_32bit,uniform_32bit,simd,macro_4,False,False,False,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.0,1.0
31,sequential_ids,sequential_ids,hybrid,macro_3,True,True,True,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.0,1.0
32,low_entropy_repeating,low_entropy_repeating,coherent_local,macro_2,True,True,True,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.0,1.0
33,uniform_32bit,uniform_32bit,simd,macro_4,True,True,True,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.0,1.0
34,clustered_ranges,clustered_ranges,guarded_fallback,macro_1,True,True,True,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.0,1.0
35,low_entropy_repeating,low_entropy_repeating,coherent_local,macro_2,True,True,True,0.8,0.8,0.8,0.1999999999999999,0.0,1.0
36,clustered_ranges,clustered_ranges,guarded_fallback,macro_1,True,True,True,0.8,0.8,0.8,0.1999999999999999,0.0,1.0
37,clustered_ranges,clustered_ranges,guarded_fallback,macro_1,False,False,False,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.0,1.0
38,sequential_ids,sequential_ids,hybrid,macro_3,True,True,True,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.0,1.0
39,zipfian_smallints,zipfian_smallints,hybrid,macro_0,True,True,False,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.28,0.25520921012980147,0.7966799414231432
40,low_entropy_repeating,low_entropy_repeating,coherent_local,macro_2,True,True,True,0.8,0.8,0.7333333333333333,0.21333333333333326,0.0,1.0
41,zipfian_smallints,zipfian_smallints,hybrid,macro_0,True,True,True,0.8,0.8,0.7333333333333333,0.21333333333333326,0.25520921012980147,0.7966799414231432
42,zipfian_smallints,zipfian_smallints,hybrid,macro_0,False,False,False,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.28,0.25520921012980147,0.7966799414231432
43,sequential_ids,sequential_ids,hybrid,macro_3,True,True,False,0.7333333333333333,0.7333333333333333,0.6,0.29333333333333333,0.0,1.0
44,low_entropy_repeating,low_entropy_repeating,coherent_local,macro_2,True,True,True,0.8,0.8,0.6666666666666666,0.2266666666666666,0.0,1.0
45,clustered_ranges,clustered_ranges,guarded_fallback,macro_1,True,True,True,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.15999999999999986,0.0,1.0
46,uniform_32bit,uniform_32bit,simd,macro_4,True,True,True,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.15999999999999986,0.0,1.0
47,clustered_ranges,clustered_ranges,guarded_fallback,macro_1,True,True,True,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.15999999999999986,0.0,1.0
48,zipfian_smallints,zipfian_smallints,hybrid,macro_0,True,True,True,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.15999999999999986,0.25520921012980147,0.7966799414231432
49,zipfian_smallints,zipfian_smallints,hybrid,macro_0,False,False,False,0.8,0.8,0.6666666666666666,0.2266666666666666,0.25520921012980147,0.7966799414231432
50,zipfian_smallints,zipfian_smallints,hybrid,macro_0,False,False,False,0.7333333333333333,0.7333333333333333,0.6,0.29333333333333333,0.25520921012980147,0.7966799414231432
51,low_entropy_repeating,low_entropy_repeating,coherent_local,macro_2,True,True,True,0.7333333333333333,0.7333333333333333,0.6,0.29333333333333333,0.0,1.0
52,sequential_ids,sequential_ids,hybrid,macro_3,True,True,True,0.8,0.8,0.6666666666666666,0.2266666666666666,0.0,1.0
53,uniform_32bit,uniform_32bit,simd,macro_4,True,True,True,0.8,0.8,0.6666666666666666,0.2266666666666666,0.0,1.0
54,uniform_32bit,uniform_32bit,simd,macro_4,False,False,False,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.28,0.0,1.0
55,low_entropy_repeating,low_entropy_repeating,coherent_local,macro_2,True,True,True,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.28,0.0,1.0
56,uniform_32bit,uniform_32bit,simd,macro_4,True,True,True,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.28,0.0,1.0
57,low_entropy_repeating,low_entropy_repeating,coherent_local,macro_2,True,True,True,0.8,0.8,0.7333333333333333,0.21333333333333326,0.0,1.0
58,zipfian_smallints,zipfian_smallints,hybrid,macro_0,True,True,True,0.8,0.8,0.8,0.1999999999999999,0.25520921012980147,0.7966799414231432
59,zipfian_smallints,zipfian_smallints,hybrid,macro_0,False,False,False,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.25520921012980147,0.7966799414231432
60,clustered_ranges,clustered_ranges,guarded_fallback,macro_1,True,True,True,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.26666666666666666,0.0,1.0
