window_id,macro_route,macro_cgcs_score,macro_switch_rate,child_switch_rate,policy_switch_rate,macro_compression_residual,compressed_route_stability,macro_route_changed,rolling_route_switch,rolling_pressure,rolling_cgcs_mean,rolling_cgcs_std,rolling_residual,rolling_stability,adaptive_accept_threshold,adaptive_watch_threshold,fixed_gate,adaptive_gate,cgcs_slope,pressure_slope,adaptive_margin_to_watch,adaptive_margin_to_accept,early_decompression_candidate,adaptive_gated_route,fixed_gated_route,fixed_gated_switch_rate,adaptive_gated_switch_rate,fixed_stability_score,adaptive_stability_score
0,macro_1,0.5191054488896942,0.5256353148388725,0.7406009572031262,0.6297397420077664,0.1272764816174976,0.5361957646895619,True,1.0,0.6528393007382721,0.5191054488896942,0.0,0.1272764816174976,0.5361957646895619,0.7300248577957121,0.5186180644350052,watch,watch,0.0,0.0,0.0004873844546889883,-0.2109194089060179,False,macro_1,macro_1,1.0,1.0,0.35,0.35
1,macro_3,0.5003842564605963,0.6908384028585641,0.5217251981470236,0.6434979338571072,0.0010108277900628126,0.5491998093894332,True,1.0,0.6602402224413653,0.5097448526751452,0.013237882118513433,0.06414365470378021,0.5426977870394976,0.7275158491326845,0.5168825886426025,watch,fallback,-0.018721192429097977,0.007400921703093144,-0.016498332182006248,-0.22713159267208827,True,adaptive_fallback,macro_3,1.0,1.0,0.35,0.0
2,macro_1,0.6391872986018345,0.4126128870683573,0.7857786192854158,0.8004085228774339,0.1519871569095435,0.19745547627459198,True,1.0,0.6606907950835953,0.5528923346507083,0.07531757008817039,0.09342482210570131,0.427617016784529,0.7434906130989929,0.5280942060374165,watch,watch,0.060040924856070155,0.003925747172661587,0.11109309256441802,-0.10430331449715835,False,macro_1,macro_1,1.0,1.0,0.24999999999999997,0.35
3,macro_3,0.32153659877060803,0.5499812183262158,0.6430845593378549,0.1797595979942188,0.09007358634509885,0.19208106659206164,True,1.0,0.6269439779785726,0.49505340068068326,0.13100837138829458,0.0925870131655507,0.36873302923641216,0.7492316459599409,0.5320159958003522,fallback,fallback,-0.06585628337302873,-0.008631774253233174,-0.21047939702974416,-0.4276950471893328,True,adaptive_fallback,fixed_fallback,1.0,1.0,0.09999999999999998,0.0
4,macro_2,0.4875883174963731,0.7642587323947257,0.581844706626247,0.6629981375372653,0.06561280752817165,0.7145013341848792,True,1.0,0.6449380231826117,0.4935603840438212,0.11350568498427611,0.08719217203807489,0.43788669022610555,0.7437748522211993,0.5280354313399532,fallback,fallback,-0.007879282848330282,-0.0019753193889150977,-0.04044711384358013,-0.2561865347248262,True,adaptive_fallback,fixed_fallback,0.8,0.8,0.22999999999999998,0.12999999999999998
5,macro_3,0.5147925970250274,0.49530587301661055,0.4748220657876615,0.6496677776503209,0.12315148139106023,0.5971756475637292,True,1.0,0.6339891543298665,0.4970990862073556,0.10189193735037624,0.09318539026357243,0.4644348497823762,0.7399866058542409,0.5253351622942097,watch,fallback,-0.0008625703729333578,-0.003770029281681131,-0.010542565269182291,-0.22519400882921348,True,adaptive_fallback,macro_3,0.8333333333333334,0.6666666666666666,0.45833333333333326,0.21666666666666665
6,macro_1,0.6860790454333248,0.5678407727401036,0.6892163487741543,0.5346913440591079,0.16872880354531566,0.302908715029918,True,1.0,0.6338640226119365,0.5240962232396369,0.11727555984271654,0.10397730644667862,0.44135968767488215,0.7436983104214211,0.5279117705723455,watch,watch,0.0371389577945457,-0.005275239965885747,0.15816727486097926,-0.05761926498809633,False,macro_1,macro_1,0.8571428571428571,0.7142857142857143,0.34285714285714286,0.5357142857142857
7,macro_0,0.4108271154968156,0.9656075044042471,0.6346121781088987,0.42146975205492343,0.17821368225579134,0.46417794717367056,True,1.0,0.6484139553232763,0.5099375847717842,0.11572596698437682,0.11325685342281772,0.4442119701122307,0.7453579264874683,0.5290528311520271,fallback,fallback,-0.04567203662100379,-0.0024553679520638028,-0.11822571565521145,-0.33453081099065274,True,adaptive_fallback,fixed_fallback,0.875,0.75,0.08125000000000002,0.16249999999999995
8,macro_1,0.2065524870943291,0.5830553769269207,1.0,0.6751366486101654,0.02877476711897449,0.4749955406813225,True,1.0,0.6599242172788355,0.4762281294742892,0.14813974278783115,0.1038699549446129,0.4476323668421298,0.7482652091002164,0.5308985385361668,fallback,fallback,-0.022996822335255785,0.00659604786005259,-0.32434605144183765,-0.5417127220058873,True,adaptive_fallback,fixed_fallback,0.7777777777777778,0.6666666666666666,0.24444444444444446,0.21666666666666665
9,macro_3,0.37775688352560255,0.8061157298794852,0.6348988750699386,0.5793168359662011,0.19126272442434133,0.6759211260517963,True,1.0,0.6665318175220348,0.4663810048794206,0.1430967018785922,0.11260923189258576,0.4704612427630964,0.7472205723949982,0.5300887570303896,fallback,fallback,-0.021966286794154112,0.00431875886788462,-0.15233187350478705,-0.3694636888693956,True,adaptive_fallback,fixed_fallback,0.7,0.6,0.19500000000000003,0.26
