window,macro_route,macro_route_id,macro_cgcs_score,rolling_stability,rolling_volatility,rolling_switch_rate,rolling_residual,rolling_pressure,decompression_event,future_decompression,decompression_probability,forecast_decompression,reactive_gate,predictive_gate,predictive_action,forecast_hit,avoidable_fallback,reactive_stability,predictive_stability,stability_gain,reactive_switch,predictive_switch,reactive_switch_rate,predictive_switch_rate
0,macro_0,0,0.4273780901119135,0.4273780901119135,0.0,1.0,0.5726219098880865,0.6689949613006185,1,0,0.1812321348242401,0,fallback,watch,monitor,0,0,0.20737809011191352,0.4273780901119135,0.22,1,1,1.0,1.0
1,macro_2,2,0.598516865645476,0.5129474778786948,0.12101338870374445,1.0,0.6080659108250497,0.8702633098087966,0,0,0.2573353942691672,0,watch,watch,monitor,0,0,0.5129474778786948,0.5129474778786948,0.0,1,0,1.0,0.5
2,macro_0,0,0.5774724173471012,0.5344557910348303,0.09332707392417779,1.0,0.5588712828893475,0.783851054118879,0,0,0.23635953105170796,0,watch,watch,monitor,0,0,0.5344557910348303,0.5344557910348303,0.0,0,0,0.6666666666666666,0.3333333333333333
3,macro_0,0,0.6492205307672181,0.5631469759679272,0.0953905910260195,0.75,0.5322436150580924,0.3675469714486545,0,0,0.14155505956032277,0,watch,watch,monitor,0,0,0.5631469759679272,0.5631469759679272,0.0,0,0,0.5,0.25
4,macro_0,0,0.587298127058123,0.5679772061859664,0.08331373993535687,0.6,0.5153365337493905,0.09853648364102645,0,0,0.0,0,watch,watch,monitor,0,0,0.5679772061859664,0.5679772061859664,0.0,0,0,0.4,0.2
5,macro_4,4,0.5597849955783876,0.5666118377513699,0.07459308812072454,0.6666666666666666,0.5079812503693546,0.1841107076298778,0,0,0.0008,0,watch,watch,monitor,0,0,0.5666118377513699,0.5666118377513699,0.0,0,0,0.3333333333333333,0.16666666666666666
6,macro_3,3,0.6815090548728916,0.5830257259115873,0.08076313557501354,0.7142857142857143,0.4977374096634262,0.2573867919202138,0,0,0.0014545454545454547,0,watch,watch,monitor,0,0,0.5830257259115873,0.5830257259115873,0.0,0,0,0.2857142857142857,0.14285714285714285
7,macro_2,2,0.6834176089898956,0.5955747112963758,0.08276888504569795,0.75,0.4871941737493221,0.3059275855953447,0,0,0.0014545454545454547,0,watch,watch,monitor,0,0,0.5955747112963758,0.5955747112963758,0.0,0,0,0.25,0.125
8,macro_0,0,0.44090338531603324,0.5783890084096711,0.09301874941986314,0.7777777777777778,0.514629741010192,0.3906444716321576,0,0,0.039604761904761906,0,watch,watch,monitor,0,0,0.5783890084096711,0.5783890084096711,0.0,0,0,0.2222222222222222,0.1111111111111111
9,macro_3,3,0.49337703826700674,0.5698878113954047,0.09172678847162603,0.8,0.5218389770762214,0.43088192815023457,0,0,0.05755454545454545,0,watch,watch,monitor,0,0,0.5698878113954047,0.5698878113954047,0.0,0,0,0.2,0.1
