policy,budget_strategy,windows,mean_adjusted_constraint_score,mean_adjusted_stability,mean_adjusted_cost,mean_budget_regret,avoided_fallback_rate,reroute_allocation_rate,decompression_allocation_rate
aggressive_predictive,cgcs_balanced_budget,7200,0.5864250508753519,0.6302285934650343,0.17848984336609994,0.13551636070328618,0.0,0.32083333333333336,0.19055555555555556
aggressive_predictive,forecast_first,7200,0.5908983147642408,0.6340272045761454,0.16920802715094005,0.12875532362461908,0.0,0.38333333333333336,0.19125
aggressive_predictive,pressure_first,7200,0.5893208842086853,0.6314785934650343,0.17757508410862746,0.13367145357018417,0.0,0.3416666666666667,0.19055555555555556
aggressive_predictive,regret_minimizing_budget,7200,0.5833163008753519,0.6277647045761454,0.18437893351113024,0.1382792724721419,0.0,0.2833333333333333,0.1875
aggressive_predictive,uniform_budget,7200,0.5829029675420186,0.6281424823539232,0.1829347939677885,0.13828905768701463,0.0,0.3,0.1786111111111111
cgcs_balanced,cgcs_balanced_budget,7200,0.5878426353441518,0.5862910996683901,0.10425191346472686,0.0612784308019131,0.0077777777777777776,0.31430555555555556,0.18375
cgcs_balanced,forecast_first,7200,0.5805077047885963,0.5848369330017235,0.1035440698933278,0.06309136636700684,0.0077777777777777776,0.33125,0.18416666666666667
cgcs_balanced,pressure_first,7200,0.582286107566374,0.5851160996683901,0.103855365400463,0.059951734862019726,0.0077777777777777776,0.3259722222222222,0.18375
cgcs_balanced,regret_minimizing_budget,7200,0.5803988158997073,0.5832369330017234,0.10947127923191102,0.06337161819292265,0.0077777777777777776,0.2825,0.18166666666666667
cgcs_balanced,uniform_budget,7200,0.5873781908997073,0.5851355441128345,0.10696675872851885,0.06232102244774497,0.0077777777777777776,0.2970833333333333,0.1748611111111111
conservative_predictive,cgcs_balanced_budget,7200,0.5898961313880481,0.5866547915732293,0.0964115619004754,0.05343807923766164,0.0,0.3070833333333333,0.18708333333333332
conservative_predictive,forecast_first,7200,0.5816682147213814,0.5848520137954515,0.09661926176881087,0.056166558242489915,0.0,0.31805555555555554,0.18763888888888888
conservative_predictive,pressure_first,7200,0.583661409165826,0.5852381249065626,0.09667374577021422,0.05277011523177095,0.0,0.31472222222222224,0.18708333333333332
conservative_predictive,regret_minimizing_budget,7200,0.5835443952769371,0.5838978471287848,0.10064159598192947,0.05454193494294111,0.0,0.28152777777777777,0.18388888888888888
conservative_predictive,uniform_budget,7200,0.5900982147213816,0.5858075693510071,0.09877312972331012,0.05412739344253623,0.0,0.295,0.17819444444444443
predictive,cgcs_balanced_budget,7200,0.5945387247833094,0.6109502516869375,0.1371460181745999,0.09417253551178614,0.0,0.32083333333333336,0.18125
predictive,forecast_first,7200,0.5994094192277538,0.6146752516869376,0.12934437259633702,0.08889166907001605,0.0,0.38333333333333336,0.18125
predictive,pressure_first,7200,0.5970299053388649,0.6121960850202709,0.13424018711847754,0.09033655658003428,0.0,0.3416666666666667,0.18125
predictive,regret_minimizing_budget,7200,0.5914642108944205,0.6085933072424932,0.14252140898305968,0.09642174794407132,0.0,0.2833333333333333,0.17972222222222223
predictive,uniform_budget,7200,0.5919167108944206,0.6093210850202709,0.1408583084990428,0.0962125722182689,0.0,0.3,0.17583333333333334
reactive,cgcs_balanced_budget,7200,0.5259228332987749,0.5264719199766202,0.12137106677419966,0.0783975841113859,0.06541666666666666,0.06541666666666666,0.185
reactive,forecast_first,7200,0.5159315832987749,0.5239913644210648,0.1231347690364531,0.08268206551013214,0.06541666666666666,0.06541666666666666,0.1852777777777778
reactive,pressure_first,7200,0.5202596388543305,0.5245969199766203,0.12233495566308857,0.07843132512464529,0.06541666666666666,0.06541666666666666,0.185
reactive,regret_minimizing_budget,7200,0.5218444305209972,0.5252483088655091,0.12226849417084712,0.07616883313185874,0.06541666666666666,0.06541666666666666,0.18180555555555555
reactive,uniform_budget,7200,0.5272487360765528,0.5263010866432869,0.12172171985727816,0.07707598357650429,0.06541666666666666,0.06541666666666666,0.17541666666666667
