regime,policy,windows,mean_constraint_score,mean_regret,mean_recovery_score,mean_route_persistence,mean_route_volatility,mean_decompression_need,mean_recommendation_score
adversarial,aggressive_predictive,48,0.3832444311616949,0.2708845250985091,0.2191825297253386,0.15123203562456375,0.9305700515934117,0.5584450355830198,0.16992254248622948
adversarial,cgcs_balanced,48,0.555763139663963,0.19632402101935256,0.3846550466392256,0.35207254887983735,0.7353823685812907,0.462032137183698,0.3269638089050325
adversarial,conservative_predictive,48,0.5532475320616104,0.23208873938203137,0.32805357133375257,0.3407748421885139,0.7446552459421074,0.49391650485515165,0.30414306843813405
adversarial,predictive,48,0.46695109035945653,0.2612589547604692,0.28265450376590023,0.22002858206628392,0.8636285568848207,0.5252274356000509,0.23137933062625451
adversarial,reactive,48,0.4052468547790562,0.3483755185288821,0.17776927040954468,0.25106660144420734,0.8285306291104932,0.5647880044237839,0.1736412608892062
overload,aggressive_predictive,48,0.5664396626532614,0.20460776738986317,0.24525947225725755,0.3044713554548893,0.7440607134823614,0.43991010964830246,0.2891768733178412
overload,cgcs_balanced,48,0.5995065997347929,0.1282008077182751,0.4831389252996067,0.5287722569984864,0.5251109717451747,0.3579430421780137,0.41421736132117704
overload,conservative_predictive,48,0.5566511501238774,0.15788571948699778,0.3999942566615155,0.5162195790400655,0.5357406840124087,0.3937317856379567,0.3711929454232204
overload,predictive,48,0.5580226823556856,0.18758172393660433,0.33836211090141877,0.40132891286494776,0.6487978041122694,0.4055011435604389,0.3292377214791413
overload,reactive,48,0.42308527244270405,0.27266279748400685,0.18329139499322553,0.429362459174862,0.6174360314243533,0.45452541535805163,0.23243644276490819
recovery,aggressive_predictive,48,0.5480297522155662,0.15457250098853248,0.34185262818432155,0.45619153955197106,0.5862288232239133,0.2856410914637096,0.34378269175515364
recovery,cgcs_balanced,48,0.6516716272611508,0.07676772551645897,0.6592504904185005,0.6653988870331752,0.38443934327656487,0.2101935681877977,0.5103965585546507
recovery,conservative_predictive,48,0.6255030102999745,0.11398514386415294,0.5505248390549327,0.6549612179026743,0.3919434004654161,0.23209635235305778,0.46700182331377976
recovery,predictive,48,0.59037069564503,0.14060850952725992,0.4685406555381017,0.5420356589768967,0.5035969219998665,0.2521768337050611,0.40770523845342105
recovery,reactive,48,0.5213625879732579,0.22014927358525835,0.260923436171276,0.5678707315740447,0.47415868301068564,0.3107259892988063,0.32506523098527595
sparse_memory,aggressive_predictive,48,0.5364117433755013,0.227438655213964,0.249372508881085,0.29516613033834943,0.7814630233550971,0.5471442486847857,0.2722439094614063
sparse_memory,cgcs_balanced,48,0.6020870251714419,0.15301969921108813,0.4508300701488534,0.5034882741352559,0.5784513835315952,0.45681232203566186,0.3980693999827292
sparse_memory,conservative_predictive,48,0.5768570948303804,0.18391348210107508,0.3814749667613622,0.49818590840456634,0.5819491104281455,0.4900337192414936,0.36598467398374246
sparse_memory,predictive,48,0.5531664999669834,0.21754663626895868,0.32891064256803254,0.3773473024105129,0.7012489486448449,0.5099030494723448,0.3145237445807317
sparse_memory,reactive,48,0.4827655943014977,0.3008406217944791,0.1968113237950567,0.40404490618512573,0.6701982872635063,0.5571139712587565,0.2473902739476109
stable,aggressive_predictive,48,0.495241429645235,0.19486741380899766,0.36367325902167164,0.36732977554172264,0.6844858380548686,0.3861491968518745,0.302692332596502
stable,cgcs_balanced,48,0.5658781878544339,0.11801817609283723,0.6965397702227967,0.5875925737050237,0.46964106851168075,0.3050269747475696,0.46218734035613745
stable,conservative_predictive,48,0.5513992036861227,0.15387146065218157,0.5829704735976613,0.570790919981996,0.48461276641622003,0.331523973324214,0.42116909345817505
stable,predictive,48,0.5210213131334398,0.1837166571151637,0.49536476700811405,0.4523383338116746,0.6016619872352753,0.35317991050717895,0.3606926830717944
stable,reactive,48,0.4686527753205733,0.26964883759905456,0.2759160956110281,0.4863370069458493,0.5638789681958148,0.4062725652642749,0.282127229525603
