start,end,length,macro_route,policy
0,11,12,macro_0,cgcs_balanced
12,23,12,macro_1,cgcs_balanced
24,35,12,macro_2,cgcs_balanced
36,47,12,macro_3,cgcs_balanced
48,54,7,macro_4,cgcs_balanced
55,59,5,macro_0,cgcs_balanced
60,71,12,macro_1,cgcs_balanced
72,83,12,macro_2,cgcs_balanced
84,95,12,macro_3,cgcs_balanced
96,107,12,macro_4,cgcs_balanced
108,109,2,macro_0,cgcs_balanced
110,119,10,macro_1,cgcs_balanced
120,122,3,macro_2,cgcs_balanced
123,123,1,macro_2,conservative_predictive
124,127,4,macro_2,cgcs_balanced
128,128,1,macro_2,conservative_predictive
129,131,3,macro_2,cgcs_balanced
132,132,1,macro_3,cgcs_balanced
133,133,1,macro_3,conservative_predictive
134,143,10,macro_3,cgcs_balanced
144,144,1,macro_4,conservative_predictive
145,147,3,macro_4,cgcs_balanced
148,148,1,macro_4,conservative_predictive
149,149,1,macro_4,cgcs_balanced
150,150,1,macro_4,conservative_predictive
151,151,1,macro_4,cgcs_balanced
152,152,1,macro_4,conservative_predictive
153,155,3,macro_4,cgcs_balanced
156,164,9,macro_0,cgcs_balanced
165,167,3,macro_1,cgcs_balanced
168,171,4,macro_2,cgcs_balanced
172,172,1,macro_2,conservative_predictive
173,179,7,macro_2,cgcs_balanced
180,191,12,macro_3,cgcs_balanced
192,192,1,macro_4,cgcs_balanced
193,193,1,macro_4,conservative_predictive
194,197,4,macro_4,cgcs_balanced
198,198,1,macro_4,conservative_predictive
199,203,5,macro_4,cgcs_balanced
204,214,11,macro_0,cgcs_balanced
215,215,1,macro_0,conservative_predictive
216,219,4,macro_1,cgcs_balanced
220,227,8,macro_2,cgcs_balanced
228,239,12,macro_3,cgcs_balanced
